symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
6790,,,,,6,1,1,6000,1000,4000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6792,,,,,2,0,1,32000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6794,,,,,3,0,0,7000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6796,,,,,1,0,0,1000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6799,,,,,1,0,1,38000,0,48617,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6805,,,,,1,7,1,134882,2000,38350,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6807,,,,,0,0,0,-1000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6830,,,,,0,0,1,-14472,0,12766,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6831,,,,,0,1,0,-169000,36000,-9155,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6834,,,,,4,0,0,22000,0,-45,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6835,,,,,3,0,1,3000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6838,,,,,2,0,1,26000,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6854,,,,,0,0,0,-41324,0,-8000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6861,,,,,1,0,0,2000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6862,,,,,0,0,1,-33000,0,9047,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6863,,,,,4,0,1,102210,0,2993,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6869,,,,,5,0,1,34785,0,11096,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6873,,,,,0,0,1,-21899,0,2459,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
